Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Year,PFTR,PHT,PAT,PFTHG,PFTAG
2012-09-29,Everton,Southampton,3.0,1.0,H,2012,H,2.112375533428165,0.8738406525868813,2,0
2012-09-29,Fulham,Man City,1.0,2.0,A,2012,A,0.9459459459459459,1.6761649346295682,0,1
2012-09-29,Man United,Tottenham,2.0,3.0,A,2012,H,2.240398293029872,1.5711252653927814,2,1
2012-09-29,Norwich,Liverpool,2.0,5.0,A,2012,D,1.2002133712660028,1.6985138004246283,1,1
2012-09-29,Reading,Newcastle,2.0,2.0,D,2012,D,1.5131578947368423,1.5487763995977206,1,1
2012-09-29,Stoke,Swansea,2.0,0.0,H,2012,D,0.9334992887624468,0.9341825902335457,0,0
2012-09-29,Sunderland,Wigan,1.0,0.0,H,2012,H,1.209103840682788,0.8917197452229301,1,0
2012-09-30,Aston Villa,West Brom,1.0,1.0,D,2012,D,1.3086770981507825,1.314113308749581,1,1
2012-10-01,QPR,West Ham,1.0,2.0,A,2012,D,0.7165718349928877,0.6883450664878756,0,0
2012-10-06,Chelsea,Norwich,4.0,1.0,H,2012,H,2.7702702702702706,0.5721309643535589,2,0
2012-10-06,Man City,Sunderland,3.0,0.0,H,2012,H,2.5515647226173543,0.7039892725444186,2,0
2012-10-06,Swansea,Reading,2.0,2.0,D,2012,D,1.9914651493598863,1.1621410213431667,1,1
2012-10-06,West Brom,QPR,3.0,2.0,H,2012,H,1.8207681365576103,0.9498267962900886,1,0
2012-10-06,West Ham,Arsenal,1.0,3.0,A,2012,A,0.8463726884779516,1.2291876187283497,0,1
2012-10-06,Wigan,Everton,2.0,2.0,D,2012,D,1.0633001422475108,1.9175326852162253,1,1
2012-10-07,Liverpool,Stoke,0.0,0.0,D,2012,H,1.3495732574679946,0.46485640853726673,1,0
2012-10-07,Newcastle,Man United,0.0,3.0,A,2012,A,1.0241820768136556,2.8405408425522403,1,2
2012-10-07,Southampton,Fulham,2.0,2.0,D,2012,D,1.3869132290184922,1.1800201139792155,1,1
2012-10-07,Tottenham,Aston Villa,2.0,0.0,H,2012,H,2.1141536273115222,0.9654710023466307,2,0
2012-10-20,Fulham,Aston Villa,1.0,0.0,H,2012,H,2.0412517780938835,1.609118337244385,2,1
2012-10-20,Liverpool,Reading,1.0,0.0,H,2012,H,2.3470839260312943,0.7151637054419486,2,0
2012-10-20,Man United,Stoke,4.0,2.0,H,2012,H,1.8403271692745378,0.5520169851380042,1,0
2012-10-20,Norwich,Arsenal,1.0,0.0,H,2012,A,0.6223328591749645,1.117443289753045,0,1
2012-10-20,Swansea,Wigan,2.0,1.0,H,2012,D,1.692745376955903,1.2202480724103253,1,1
2012-10-20,Tottenham,Chelsea,2.0,4.0,A,2012,D,1.1859886201991465,1.367750586657727,1,1
2012-10-20,West Brom,Man City,1.0,2.0,A,2012,D,1.0810810810810811,1.3968041121913068,1,1
2012-10-20,West Ham,Southampton,4.0,1.0,H,2012,H,2.1763869132290186,1.1308526092300817,2,1
2012-10-21,QPR,Everton,1.0,1.0,D,2012,A,0.5316500711237554,1.3766901329757513,0,1
2012-10-21,Sunderland,Newcastle,1.0,1.0,D,2012,H,1.3157894736842104,0.8917197452229301,1,0
2012-10-27,Arsenal,QPR,1.0,0.0,H,2012,H,2.67425320056899,0.8738406525868813,2,0
2012-10-27,Aston Villa,Norwich,1.0,1.0,D,2012,D,1.5540540540540542,1.0012291876187283,1,1
2012-10-27,Man City,Swansea,1.0,0.0,H,2012,H,1.8225462304409676,0.6369426751592357,1,0
2012-10-27,Reading,Fulham,3.0,3.0,D,2012,D,1.2268847795163587,1.6225276567214215,1,1
2012-10-27,Stoke,Sunderland,0.0,0.0,D,2012,D,1.3068990042674256,1.0325175997318137,1,1
2012-10-27,Wigan,West Ham,2.0,1.0,H,2012,H,1.4331436699857754,0.9587663426081127,1,0
2012-10-28,Chelsea,Man United,2.0,3.0,A,2012,D,1.7496443812233287,1.466085596155995,1,1
