home_theta,home_actual,away_theta,away_actual
1.5045958855324015,0.0,0.7764800913247789,0.0
2.166646044168272,5.0,1.100086888994964,0.0
1.5070981659805263,2.0,1.6951719722271588,1.0
0.8498746777253178,0.0,0.9677259333019699,5.0
1.1427101114645828,1.0,1.173162703162391,1.0
1.6954173901524177,3.0,1.1900383210405103,0.0
1.8476967068438526,1.0,0.8591537008801207,0.0
1.8420309409304056,3.0,0.7380873375313399,2.0
0.8706721497171619,0.0,1.9480269149311027,2.0
1.253761873175866,1.0,1.0413927875007811,0.0
3.2374121366616544,4.0,0.5725718441811943,2.0
1.1989633665049,1.0,1.1137910282104397,3.0
3.0251483540967024,2.0,0.6126489634220108,0.0
2.054955767775662,3.0,1.0003692247357119,2.0
1.8454895124716597,1.0,0.7138831534890898,1.0
2.124604212340582,0.0,0.95069965840728,2.0
1.1820690789646737,3.0,0.950384617460078,0.0
1.9197136065240858,1.0,1.427709617111382,1.0
1.3265214910937375,2.0,0.8733268067244703,2.0
1.0654359355718643,0.0,1.07883552269492,0.0
1.8095240908790646,3.0,0.4205378109076422,1.0
1.057104555159102,2.0,0.8579989700316855,2.0
2.356879412267374,1.0,1.1560104567425205,1.0
1.6355589963133303,2.0,0.9310923724507791,0.0
1.6292584357367879,3.0,1.0418587297524902,0.0
1.1274212783121529,2.0,1.0880020608704817,2.0
1.5741031241725494,0.0,1.0245690547024011,2.0
1.626475306041532,1.0,1.2850688570284101,1.0
1.3742040011630612,2.0,1.477306493256542,3.0
2.1610328291194536,6.0,0.8758437701317134,1.0
1.3800767727360779,2.0,1.0082842912584493,0.0
1.7647656769635203,3.0,1.3586422353842718,0.0
2.631521059316166,4.0,0.7106867910936253,0.0
1.4626066751139128,0.0,1.230399512008286,0.0
0.62237251455151,0.0,1.6557725037321283,0.0
0.8978596409702034,1.0,0.9195827042519316,1.0
1.1908974376926893,1.0,0.968349935945808,1.0
1.4085096487189503,1.0,1.814116094235505,3.0
1.9530758269359554,2.0,0.7268065872071167,2.0
1.9988311414168318,1.0,0.5593772374365168,0.0
1.881543975121279,4.0,1.103538392495874,1.0
1.0702947562270588,0.0,0.8829720100093716,3.0
