Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Year,AST,AS,HST,HS,Hg,Ag,PFTAG,PFTHG,MHT,MAT,PFTR
2001-09-15,Newcastle,Man United,4.0,3.0,H,2001,7.0,10.0,8.0,15.0,15,13,1,2,2.01786128242084,1.9880613830499658,H
2001-09-16,Aston Villa,Sunderland,0.0,0.0,D,2001,2.0,4.0,3.0,8.0,1,17,0,0,0.7850643043646521,0.731029353233537,D
2001-09-16,Charlton,Leeds,0.0,2.0,A,2001,9.0,20.0,4.0,9.0,4,10,2,1,1.0414395321669154,2.0003372624839693,A
2001-09-16,Ipswich,Blackburn,1.0,1.0,D,2001,4.0,6.0,10.0,20.0,9,2,1,2,2.456992996592669,1.2596598984491896,H
2001-09-16,Tottenham,Chelsea,2.0,3.0,A,2001,4.0,6.0,4.0,11.0,18,5,1,0,0.9923603712117816,1.2596598984491896,A
2001-09-17,Leicester,Middlesbrough,1.0,2.0,A,2001,6.0,13.0,5.0,10.0,11,14,1,1,1.297814759969186,1.465568777551312,D
2001-09-19,Blackburn,Bolton,1.0,1.0,D,2001,5.0,10.0,8.0,20.0,2,3,1,1,1.8951633800330105,1.3303421713888994,D
2001-09-19,Sunderland,Tottenham,1.0,2.0,A,2001,6.0,13.0,8.0,14.0,17,18,1,2,2.042400862898408,1.465568777551312,H
2001-09-22,Arsenal,Bolton,1.0,1.0,D,2001,4.0,7.0,12.0,23.0,0,3,1,2,2.9452038717196194,1.1951155652264838,H
2001-09-22,Blackburn,Everton,1.0,0.0,H,2001,7.0,14.0,6.0,13.0,2,7,1,1,1.5051108268163111,1.7298840501591377,D
2001-09-22,Leicester,Fulham,0.0,0.0,D,2001,2.0,6.0,5.0,12.0,11,8,0,1,1.2487355990140458,0.6019406867881252,H
2001-09-22,Liverpool,Tottenham,1.0,0.0,H,2001,5.0,11.0,6.0,14.0,12,18,1,1,1.4805712463387453,1.265797838166195,D
2001-09-22,Man United,Ipswich,4.0,0.0,H,2001,1.0,8.0,8.0,13.0,13,9,0,2,2.0669404433759713,0.14399241451217862,H
2001-09-22,Sunderland,Charlton,2.0,2.0,D,2001,5.0,13.0,13.0,22.0,17,4,1,3,3.250658260477028,1.1367091717207791,H
2001-09-23,Chelsea,Middlesbrough,2.0,2.0,D,2001,2.0,4.0,3.0,8.0,5,14,0,0,0.7850643043646521,0.731029353233537,D
2001-09-23,Leeds,Derby,3.0,0.0,H,2001,2.0,9.0,10.0,19.0,10,6,0,2,2.4815325770702277,0.4083076871200054,H
2001-09-23,West Ham,Newcastle,3.0,0.0,H,2001,5.0,8.0,9.0,17.0,19,15,1,2,2.249696929745537,1.459430837834314,H
2001-09-24,Southampton,Aston Villa,1.0,3.0,A,2001,5.0,11.0,4.0,12.0,16,1,1,0,0.96782079073421,1.265797838166195,A
2001-09-26,Newcastle,Leicester,1.0,0.0,H,2001,2.0,2.0,6.0,12.0,15,11,0,1,1.5296504072938713,0.8601180196789516,H
