Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Year,AST,AS,HST,HS,Hg,Ag,PFTHG,BHT,PFTAG,BAT,PFTR
2012-09-22,West Brom,Reading,1.0,0.0,H,2012,1.0,8.0,4.0,9.0,17,11,2,2.8914289183336686,0,0.8244803410884076,H
2012-09-22,West Ham,Sunderland,1.0,1.0,D,2012,2.0,4.0,11.0,20.0,18,14,1,1.2568721987993123,0,0.8232446044672275,H
2012-09-22,Wigan,Fulham,1.0,2.0,A,2012,9.0,12.0,9.0,18.0,19,4,1,1.3224376629928822,1,1.5466325719984422,D
2012-09-23,Liverpool,Man United,1.0,2.0,A,2012,4.0,8.0,8.0,13.0,5,7,1,1.6024453842442863,1,1.0795058117059102,D
2012-09-23,Man City,Arsenal,1.0,1.0,D,2012,4.0,10.0,10.0,14.0,6,0,1,1.3526385825264005,0,0.8676664726944482,H
2012-09-23,Newcastle,Norwich,1.0,0.0,H,2012,3.0,8.0,8.0,16.0,8,9,1,1.6693117385841578,1,1.4194123409949762,D
2012-09-23,Tottenham,QPR,2.0,1.0,H,2012,6.0,9.0,14.0,18.0,16,10,2,2.204026276387147,0,0.6445123259363943,H
2012-09-29,Arsenal,Chelsea,1.0,2.0,A,2012,5.0,10.0,5.0,14.0,0,2,1,1.2840980059257483,1,1.237707629162533,D
2012-09-29,Everton,Southampton,3.0,1.0,H,2012,2.0,8.0,9.0,17.0,3,12,1,1.6771818464757995,0,0.8407865463178997,H
2012-09-29,Fulham,Man City,1.0,2.0,A,2012,12.0,21.0,3.0,7.0,4,6,1,1.2763385436019434,1,1.0786480845564599,D
2012-09-29,Man United,Tottenham,2.0,3.0,A,2012,6.0,10.0,8.0,15.0,7,16,2,2.1594206598192582,1,1.0882024947229265,H
2012-09-29,Norwich,Liverpool,2.0,5.0,A,2012,6.0,10.0,7.0,10.0,9,5,1,1.3727723117287136,1,1.4610391931055058,D
2012-09-29,Reading,Newcastle,2.0,2.0,D,2012,3.0,8.0,7.0,14.0,11,8,1,1.729444544503349,1,1.2848876677778147,D
2012-09-29,Stoke,Swansea,2.0,0.0,H,2012,0.0,8.0,5.0,10.0,13,15,1,1.177290886873551,0,0.7579722610398506,H
2012-09-29,Sunderland,Wigan,1.0,0.0,H,2012,3.0,8.0,6.0,11.0,14,19,1,1.8835697975897387,0,0.6619144212628641,H
2012-09-30,Aston Villa,West Brom,1.0,1.0,D,2012,7.0,14.0,8.0,19.0,1,17,1,1.4552884371469612,1,1.5407983957825866,D
2012-10-01,QPR,West Ham,1.0,2.0,A,2012,10.0,17.0,9.0,13.0,10,18,0,0.8154493972001549,1,1.150603141087875,A
2012-10-06,Chelsea,Norwich,4.0,1.0,H,2012,4.0,7.0,13.0,20.0,2,9,2,2.7289511973196996,0,0.7242798986450716,H
2012-10-06,Man City,Sunderland,3.0,0.0,H,2012,6.0,8.0,16.0,26.0,6,14,1,1.282494248769262,0,0.6543520006608151,H
2012-10-06,Swansea,Reading,2.0,2.0,D,2012,6.0,8.0,16.0,25.0,15,11,1,1.8921244762625136,0,0.7818698611694705,H
2012-10-06,West Brom,QPR,3.0,2.0,H,2012,6.0,13.0,8.0,13.0,17,10,2,2.2792381417193712,0,0.5814685282956082,H
2012-10-06,West Ham,Arsenal,1.0,3.0,A,2012,14.0,20.0,3.0,7.0,18,0,1,1.3256151682802686,1,1.0916169605983606,D
2012-10-06,Wigan,Everton,2.0,2.0,D,2012,11.0,16.0,6.0,10.0,19,3,1,1.0329083888065205,1,1.2576719659451592,D
2012-10-07,Liverpool,Stoke,0.0,0.0,D,2012,3.0,5.0,5.0,16.0,5,13,1,1.6493647631284276,0,0.6878953294712145,H
2012-10-07,Newcastle,Man United,0.0,3.0,A,2012,9.0,12.0,3.0,13.0,8,7,1,1.1879121098995942,1,1.7203212680948312,D
2012-10-07,Southampton,Fulham,2.0,2.0,D,2012,5.0,14.0,6.0,13.0,12,4,1,1.6591042146264634,1,1.3382135311307708,D
2012-10-07,Tottenham,Aston Villa,2.0,0.0,H,2012,5.0,8.0,10.0,23.0,16,1,2,2.2963992133799422,1,1.0465972384865005,H
2012-10-20,Fulham,Aston Villa,1.0,0.0,H,2012,4.0,9.0,8.0,17.0,4,1,2,2.1110474492686278,0,0.9959666830018785,H
2012-10-20,Liverpool,Reading,1.0,0.0,H,2012,5.0,8.0,13.0,23.0,5,11,2,2.671397994204315,0,0.7041214247543697,H
2012-10-20,Man United,Stoke,4.0,2.0,H,2012,6.0,8.0,8.0,13.0,7,13,1,1.7519168754898342,0,0.7037248522042356,H
2012-10-20,Norwich,Arsenal,1.0,0.0,H,2012,7.0,13.0,3.0,7.0,9,0,1,1.3795231192552477,1,1.4729055548346455,D
2012-10-20,Swansea,Wigan,2.0,1.0,H,2012,7.0,10.0,11.0,18.0,15,19,1,1.7547739320793394,0,0.7714088722148768,H
2012-10-20,Tottenham,Chelsea,2.0,4.0,A,2012,7.0,11.0,16.0,23.0,16,2,1,1.333171823765007,1,1.5985467990437958,D
2012-10-20,West Brom,Man City,1.0,2.0,A,2012,13.0,21.0,8.0,16.0,17,6,1,1.4357810436561176,1,1.0226088259436572,D
2012-10-20,West Ham,Southampton,4.0,1.0,H,2012,4.0,11.0,8.0,9.0,18,12,1,1.8052303011926412,0,0.9285925887513585,H
